year,gainer,procedure,entity,area,pop,loser,c_a3_g,c_a3_l
1926,New Zealand,Cession,Tokelau Is.,6,1033,United Kingdom,NEW,UKG
1926,United Kingdom,Cession,Iraq,91009,703378,Turkey,UKG,TUR
1927,Portugal,Cession,Democratic Republic of the Congo,3500,0,Belgium,POR,BEL
1927,Belgium,Cession,Angola,3,0,Portugal,BEL,POR
1928,Netherlands,Cession,Indonesia,1,0,United States of America,NTH,USA
1928,Norway,Cession,Bouvet I.,48,0,United Kingdom,NOR,UKG
1929,Peru,Cession,Chile,8498,30000,Chile,PER,CHL
1930,China,Cession,China,738,154416,United Kingdom,CHN,UKG
1932,France,Cession,French Polynesia,5,0,Mexico,FRN,MEX
1932,Japan,Conquest,Manchukuo,1304292,32900000,China,JPN,CHN
1932,Iraq,Independence,Iraq,301994,3560456,United Kingdom,IRQ,UKG
1933,United Kingdom,Cession,Newfoundland,404519,289516,Newfoundland,UKG,#N/A
1933,Japan,Conquest,China,173960,2963027,China,JPN,CHN
1934,Colombia,Cession,Peru,113882,40000,Peru,COL,PER
1934,Italy,Cession,Sudan,1,0,France,ITA,FRN
1934,Saudi Arabia,Cession,Yemen Arab Republic,1,50,Yemen Arab Republic,SAU,YAR
1935,Paraguay,Conquest,Bolivia,233100,35000,Bolivia,PAR,BOL
1935,Germany,Unification,Saar,1912,812030,France,GMY,FRN
1935,Italy,Cession,Djibouti,800,0,France,ITA,FRN
1936,Italy,Conquest,Ethiopia,906499,7000000,Ethiopia,ITA,ETH
1937,Japan,Conquest,China,1500000,0,China,JPN,CHN
1938,Germany,Annexation,Austria,83869,6760000,Austria,GMY,AUS
1938,Germany,Cession,Czechoslovakia,28674,3653292,Czechoslovakia,GMY,CZE
1938,Hungary,Cession,Slovakia,11826,1027450,Czechoslovakia,HUN,CZE
1938,Poland,Annexation,Czechoslovakia,1085,241698,Czechoslovakia,POL,CZE
1939,Slovakia,Secession,Slovakia,38456,2450096,Czechoslovakia,SLO,CZE
1939,Turkey,Cession,Syria,5312,273350,France,TUR,FRN
1939,Germany,Annexation,Czechoslovakia,98909,9807096,Czechoslovakia,GMY,CZE
1939,Hungary,Conquest,Czechoslovakia,11094,522124,Czechoslovakia,HUN,CZE
1939,Italy,Conquest,Albania,28748,1003124,Albania,ITA,ALB
1939,Lithuania,Cession,Poland,6656,457500,Russia,LIT,RUS
1939,Germany,Annexation,Lithuania,2846,152660,Lithuania,GMY,LIT
1940,Russia,Cession,Finland,40000,450000,Finland,RUS,FIN
1940,Bulgaria,Cession,Romania,7421,0,Romania,BUL,ROM
1940,Russia,Conquest,Estonia,47549,1126000,Estonia,RUS,EST
1940,Russia,Conquest,Latvia,65773,1950000,Latvia,RUS,LAT
1940,Russia,Conquest,Lithuania,59464,2879070,Lithuania,RUS,LIT
1941,Ethiopia,Cession,Ethiopia,906499,15000000,Italy,ETH,ITA
1942,Peru,Cession,Ecuador,190807,31000,Ecuador,PER,ECU
1944,Albania,Cession,Albania,28748,1132000,Italy,ALB,ITA
1944,Iceland,Secession,Iceland,103000,132000,Denmark,ICE,DEN
1945,Czechoslovakia,Cession,Czechoslovakia,127860,12900000,Germany,CZE,GMY
1945,Czechoslovakia,Cession,Czechoslovakia,22922,1000000,Hungary,CZE,HUN
1945,Czechoslovakia,Annexation,Slovakia,38456,2450096,Slovakia,CZE,SLO
1945,Russia,Cession,Germany,13000,0,Germany,RUS,GMY
1945,Russia,Cession,Poland,179460,0,Poland,RUS,POL
1945,Russia,Cession,Czechoslovakia,7000,0,Czechoslovakia,RUS,CZE
1945,China,Cession,China,1500000,0,Japan,CHN,JPN
1945,Russia,Cession,Japan,41063,339357,Japan,RUS,JPN
1945,China,Cession,Taiwan,35763,6084000,Japan,CHN,JPN
1945,United States of America,Cession,Abuja,2354,869287,Japan,USA,JPN
1946,Philippines,Independence,Philippines,299404,18400000,United States of America,PHI,USA
1946,Jordan,Independence,Jordan,89484,400000,United Kingdom,JOR,UKG
1946,Syria,Independence,Syria,184920,2978000,France,SYR,FRN
1946,Lebanon,Independence,Lebanon,10400,1156000,France,LEB,FRN
1947,Australia,Cession,Heard and McDonald Is.,412,0,United Kingdom,AUL,UKG
1947,France,Annexation,Saar,2567,874000,German Federal Republic,FRN,GFR
1947,Czechoslovakia,Cession,Hungary,1,0,Hungary,CZE,HUN
1947,Yugoslavia,Cession,Italy,3600,0,Italy,YUG,ITA
1947,Greece,Cession,Dodecanese Is. (Aegean Is.),2681,115343,Italy,GRC,ITA
1947,Albania,Cession,Albania,5,0,Italy,ALB,ITA
1947,France,Cession,Italy,1,0,Italy,FRN,ITA
1947,Russia,Conquest,Romania,49987,3500000,Romania,RUS,ROM
1947,Russia,Cession,Finland,44104,450000,Finland,RUS,FIN
1947,United States of America,Mandated territory,U. S. Pacific Trust Territories,1779,47000,Japan,USA,JPN
1947,India,Independence,India,2729368,345000,United Kingdom,IND,UKG
1947,Pakistan,Independence,Pakistan,863777,72200000,United Kingdom,PAK,UKG
1948,Canada,Unification,Newfoundland,404519,324000,United Kingdom,CAN,UKG
1948,South Korea,Independence,South Korea,98500,20200000,United States of America,ROK,USA
1948,Myanmar,Independence,Myanmar,678034,18100000,United Kingdom,MYA,UKG
1948,Sri Lanka,Independence,Sri Lanka,65610,7244000,United Kingdom,SRI,UKG
1948,Israel,Independence,Israel,12820,782000,United Kingdom,ISR,UKG
1948,North Korea,Independence,North Korea,121129,8000000,Russia,PRK,RUS
1949,Belgium,Cession,Germany,18,0,Germany,BEL,GMY
1949,France,Cession,Germany,7,0,Germany,FRN,GMY
1949,Luxembourg,Cession,Germany,6,0,Germany,LUX,GMY
1949,Netherlands,Cession,German Federal Republic,78,9000,German Federal Republic,NTH,GFR
1949,Jordan,Conquest,Israel,5607,400000,Israel,JOR,ISR
1949,Egypt,Conquest,Israel,258,405000,Israel,EGY,ISR
1949,Pakistan,Conquest,Kashmir,32024,1320000,India,PAK,IND
1949,Bhutan,Cession,India,83,19920,India,BHU,IND
1949,India,Conquest,Kashmir,139860,2700000,Pakistan,IND,PAK
1949,Indonesia,Independence,Indonesia,1491562,74800000,Netherlands,INS,NTH
1949,Taiwan,Secession,Taiwan,36156,7099000,China,TAW,CHN
1949,Bhutan,Independence,Bhutan,46600,300000,India,BHU,IND
1950,India,Cession,Sokoto,10,44786,France,IND,FRN
1950,India,Cession,Sikkim,7298,137158,Sikkim,IND,#N/A
1951,Russia,Cession,Poland,240,7000,Poland,RUS,POL
1951,Poland,Cession,Russia,240,7000,Russia,POL,RUS
1953,Japan,Cession,Abuja,1000,0,United States of America,JPN,USA
1953,Laos,Independence,Laos,236800,1505000,France,LAO,FRN
1953,Cambodia,Independence,Cambodia,172511,4440000,France,CAM,FRN
1954,India,Annexation,Portugal,491,57963,Portugal,IND,POR
1954,India,Cession,Sokoto,503,323000,France,IND,FRN
1954,Republic of Vietnam,Independence,Republic of Vietnam,168350,9934000,France,RVN,FRN
1954,Vietnam,Independence,Vietnam,155203,16100000,France,DRV,FRN
1954,German Democratic Republic,Independence,German Democratic Republic,107834,18100000,Russia,GDR,RUS
1955,Australia,Cession,Cocos (Keeling) Is.,14,500,United Kingdom,AUL,UKG
1955,France,Cession,Libya,26000,0,Libya,FRN,LIB
1955,China,Cession,Taiwan,1,300,Taiwan,CHN,TAW
1956,Egypt,Cession,Egypt,1,0,United Kingdom,EGY,UKG
1956,German Federal Republic,Cession,Belgium,1,648,Belgium,GFR,BEL
1956,Morocco,Cession,Spanish Morocco,19656,1045000,Spain,MOR,SPN
1956,Japan,Cession,Russia,500,0,Russia,JPN,RUS
1956,Sudan,Independence,Sudan,2505823,10300000,United Kingdom,SUD,UKG
1956,Morocco,Independence,Morocco,380800,8955000,France,MOR,FRN
1956,Tunisia,Independence,Tunisia,125180,3963000,France,TUN,FRN
1957,Ghana,Unification,British Togoland,33776,429000,United Kingdom,GHA,UKG
1957,German Federal Republic,Cession,Saar,2567,992000,France,GFR,FRN
1957,Ghana,Independence,Ghana,204097,6250000,United Kingdom,GHA,UKG
1957,Malaysia,Independence,Malaysia,131287,6279000,United Kingdom,MAL,UKG
1958,Australia,Cession,Cocos (Keeling) Is.,135,3361,United Kingdom,AUL,UKG
1958,Morocco,Cession,Spanish Morocco,13219,9000,Spain,MOR,SPN
1958,Egypt,Unification,Syria,1187338,29300000,Syria,EGY,SYR
1958,Pakistan,Cession,Oman,1,8146,Oman,PAK,OMA
1958,Pakistan,Cession,India,1,300,India,PAK,IND
1958,India,Cession,Pakistan,1,0,Pakistan,IND,PAK
1958,Guinea,Independence,Guinea,245857,2896000,France,GUI,FRN
1960,Mali,Independence,Mali,1401182,7172000,France,MLI,FRN
1960,Honduras,Cession,Nicaragua,20720,0,Nicaragua,HON,NIC
1960,Somalia,Unification,British Somaliland (Somaliland Republic),176120,650000,United Kingdom,SOM,UKG
1960,Nigeria,Independence,Nigeria,878447,52000000,United Kingdom,NIG,UKG
1960,Cyprus,Independence,Cyprus,9251,573000,United Kingdom,CYP,UKG
1960,Democratic Republic of the Congo,Independence,Democratic Republic of the Congo,2344932,14100000,Belgium,DRC,BEL
1960,Chad,Independence,Chad,1283000,3070000,France,CHA,FRN
1960,Niger,Independence,Niger,1188794,2876000,France,NIR,FRN
1960,Mauritania,Independence,Mauritania,1085805,970000,France,MAA,FRN
1960,Central African Republic,Independence,Central African Republic,626000,1227000,France,CEN,FRN
1960,Madagascar,Independence,Madagascar,590000,5393000,France,MAG,FRN
1960,Cameroon,Independence,Cameroon,432012,4700000,France,CAO,FRN
1960,Congo,Independence,Congo,342000,773000,France,CON,FRN
1960,Ivory Coast,Independence,Ivory Coast,322463,3230000,France,CDI,FRN
1960,Burkina Faso,Independence,Burkina Faso,274200,4400000,France,BFO,FRN
1960,Gabon,Independence,Gabon,267000,446000,France,GAB,FRN
1960,Benin,Independence,Benin,115760,2050000,France,BEN,FRN
1960,Togo,Independence,Togo,56600,1440000,France,TOG,FRN
1960,Somalia,Independence,Somalia,461541,1330000,Italy,SOM,ITA
1960,Senegal,Secession,Senegal,197161,3110000,Mali,SEN,MLI
1961,Nigeria,Unification,British Cameroons,45325,0,United Kingdom,NIG,UKG
1961,Cameroon,Unification,British Cameroons,42945,840000,United Kingdom,CAO,UKG
1961,India,Conquest,"Portuguese India (incl. Goa, Diu, Daman)",4193,649660,Portugal,IND,POR
1961,Benin,Conquest,Benin,2,12,Portugal,BEN,POR
1961,Nepal,Cession,China,780,31200,China,NEP,CHN
1961,China,Cession,Myanmar,161,0,Myanmar,CHN,MYA
1961,Tanzania,Independence,Tanzania,939361,9399000,United Kingdom,TAZ,UKG
1961,Sierra Leone,Independence,Sierra Leone,72326,2252000,United Kingdom,SIE,UKG
1961,Kuwait,Independence,Kuwait,15540,322000,United Kingdom,KUW,UKG
1961,Syria,Secession,Syria,184920,4693000,Egypt,SYR,EGY
1962,Uganda,Independence,Uganda,243411,7016000,United Kingdom,UGA,UKG
1962,Jamaica,Independence,Jamaica,11424,1661000,United Kingdom,JAM,UKG
1962,Trinidad and Tobago,Independence,Trinidad and Tobago,5128,900000,United Kingdom,TRI,UKG
1962,Burundi,Independence,Burundi,27834,3025000,Belgium,BUI,BEL
1962,Rwanda,Independence,Rwanda,26388,2840000,Belgium,RWA,BEL
1962,Algeria,Independence,Algeria,2381741,10900000,France,ALG,FRN
1962,Samoa,Independence,Samoa,2823,116000,New Zealand,WSM,NEW
1963,Mexico,Cession,United States of America,2,100,United States of America,MEX,USA
1963,Malaysia,Unification,Sarawak,124967,778000,United Kingdom,MAL,UKG
1963,Malaysia,Unification,Sabah (North Borneo),76115,478000,United Kingdom,MAL,UKG
1963,Malaysia,Unification,Singapore,583,1733000,United Kingdom,MAL,UKG
1963,Indonesia,Cession,West Irian (Dutch New Guinea),412781,751000,Netherlands,INS,NTH
1963,German Federal Republic,Cession,Netherlands,1,0,Netherlands,GFR,NTH
1963,Pakistan,Cession,China,1942,9136,China,PAK,CHN
1963,Kenya,Independence,Kenya,582646,8847000,United Kingdom,KEN,UKG
1963,Zanzibar,Independence,Zanzibar,2642,329000,United Kingdom,ZAN,UKG
1964,Tanzania,Unification,Zanzibar,942003,11400000,Zanzibar,TAZ,ZAN
1964,Zambia,Independence,Zambia,751936,3600000,United Kingdom,ZAM,UKG
1964,Malawi,Independence,Malawi,119311,3845000,United Kingdom,MAW,UKG
1964,Malta,Independence,Malta,316,324000,United Kingdom,MLT,UKG
1965,Maldives,Independence,Maldives,298,98000,United Kingdom,MAD,UKG
1965,Saudi Arabia,Cession,Jordan,750,750,Jordan,SAU,JOR
1965,Jordan,Cession,Saudi Arabia,750,750,Saudi Arabia,JOR,SAU
1965,Gambia,Independence,Gambia,10368,330000,United Kingdom,GAM,UKG
1965,Singapore,Secession,Singapore,583,1865000,Malaysia,SIN,MAL
1966,Botswana,Independence,Botswana,575000,667000,United Kingdom,BOT,UKG
1966,Guyana,Independence,Guyana,210000,714223,United Kingdom,GUY,UKG
1966,Lesotho,Independence,Lesotho,30340,1080857,United Kingdom,LES,UKG
1966,Barbados,Independence,Barbados,430,238000,United Kingdom,BAR,UKG
1967,Oman,Cession,Oman,73,85,United Kingdom,OMA,UKG
1967,Israel,Conquest,Egypt,53242,418800,Egypt,ISR,EGY
1967,Israel,Conquest,Syria,1710,60000,Syria,ISR,SYR
1967,Israel,Conquest,Jordan,5878,674500,Jordan,ISR,JOR
1967,Yemen Peoples Republic,Independence,Yemen Peoples Republic,160300,1250000,United Kingdom,#N/A,UKG
1968,Nauru,Independence,Nauru,22,6603,Australia,NAU,AUL
1968,Japan,Cession,Bonin Is.,100,0,United States of America,JPN,USA
1968,Pakistan,Cession,India,780,187200,India,PAK,IND
1968,India,Cession,Pakistan,7000,0,Pakistan,IND,PAK
1968,Swaziland,Independence,Swaziland,17400,442195,United Kingdom,SWA,UKG
1968,Mauritius,Independence,Mauritius,1865,830700,United Kingdom,MAS,UKG
1968,Equatorial Guinea,Independence,Equatorial Guinea,28051,290000,Spain,EQG,SPN
1969,Morocco,Cession,Ifni,1505,51517,Spain,MOR,SPN
1969,Kuwait,Cession,Saudi Arabia,2850,2080,Saudi Arabia,KUW,SAU
1969,Saudi Arabia,Cession,Kuwait,2850,2080,Kuwait,SAU,KUW
1970,Tonga,Independence,Tonga,700,87406,United Kingdom,TON,UKG
1970,Fiji,Independence,Fiji,18272,524457,United Kingdom,FIJ,UKG
1971,United Arab Emirates,Unification,United Arab Emirates,90410,154656,United Arab Emirates,UAE,UAE
1971,Bangladesh,Secession,Bangladesh,144020,71300000,Pakistan,BNG,PAK
1971,Nicaragua,Cession,Nicaragua,6,2116,United States of America,NIC,USA
1971,Iran,Conquest,United Arab Emirates,1,100,United Arab Emirates,IRN,UAE
1971,Iran,Annexation,United Arab Emirates,1,100,United Arab Emirates,IRN,UAE
1971,Pakistan,Conquest,India,315,75600,India,PAK,IND
1971,India,Conquest,Pakistan,13361,5000000,Pakistan,IND,PAK
1971,Qatar,Independence,Qatar,11000,160000,United Kingdom,QAT,UKG
1971,Bahrain,Independence,Bahrain,723,216815,United Kingdom,BAH,UKG
1972,Japan,Cession,Abuja,848,934176,United States of America,JPN,USA
1972,Honduras,Cession,Honduras,3,0,United States of America,HON,USA
1972,Yemen Arab Republic,Annexation,Yemen Peoples Republic,182,1000,Yemen Peoples Republic,YAR,#N/A
1972,United Arab Emirates,Unification,United Arab Emirates,1690,24482,United Arab Emirates,UAE,UAE
1972,Pakistan,Cession,Pakistan,14609,3506160,India,PAK,IND
1972,India,Cession,India,179,0,Pakistan,IND,PAK
1973,Libya,Conquest,Chad,78000,78000,Chad,LIB,CHA
1973,Israel,Conquest,Syria,780,15000,Syria,ISR,SYR
1973,Bahamas,Independence,Bahamas,13864,168812,United Kingdom,BHM,UKG
1974,Turkey,Conquest,Cyprus,3640,250000,Cyprus,TUR,CYP
1974,Egypt,Cession,Egypt,1000,1000,Israel,EGY,ISR
1974,Sri Lanka,Cession,India,1,100,India,SRI,IND
1974,Grenada,Independence,Grenada,344,107779,United Kingdom,GRN,UKG
1974,Guinea-Bissau,Independence,Guinea-Bissau,36125,487448,Portugal,GNB,POR
1975,Saudi Arabia,Cession,Iraq,3500,2000,Iraq,SAU,IRQ
1975,Egypt,Cession,Egypt,20000,2000,Israel,EGY,ISR
1975,Iraq,Cession,Saudi Arabia,3500,0,Saudi Arabia,IRQ,SAU
1975,Vietnam,Conquest,Republic of Vietnam,174481,18300000,Republic of Vietnam,DRV,RVN
1975,Suriname,Independence,Suriname,163265,414000,Netherlands,SUR,NTH
1975,Comoros,Independence,Comoros,1862,252000,France,COM,FRN
1975,Angola,Independence,Angola,1246700,5673046,Portugal,ANG,POR
1975,Mozambique,Independence,Mozambique,784961,8233834,Portugal,MZM,POR
1975,Cape Verde,Independence,Cape Verde,4033,272071,Portugal,CAP,POR
1975,Sao Tome and Principe,Independence,Sao Tome and Principe,964,76430,Portugal,STP,POR
1975,Papua New Guinea,Independence,Papua New Guinea,462840,2600000,Australia,PNG,AUL
1976,Seychelles,Cession,British Indian Ocean Territory,27,0,United Kingdom,SEY,UKG
1976,Morocco,Cession,Spanish Sahara,177667,0,Spain,MOR,SPN
1976,Mauritania,Cession,Spanish Sahara,88667,0,Spain,MAA,SPN
1976,Indonesia,Conquest,East Timor,14984,610541,Portugal,INS,POR
1976,France,Secession,Mayotte,374,38000,Comoros,FRN,COM
1976,Syria,Cession,Syria,780,0,Israel,SYR,ISR
1976,Seychelles,Independence,Seychelles,404,59000,United Kingdom,SEY,UKG
1977,Djibouti,Independence,Djibouti,23000,300000,France,DJI,FRN
1978,Tuvalu,Independence,Tuvalu,24,5887,United Kingdom,TUV,UKG
1978,Panama,Cession,Panama Canal Zone,1676,41800,United States of America,PAN,USA
1978,Solomon Islands,Independence,Solomon Islands,29785,196823,United Kingdom,SOL,UKG
1978,Dominica,Independence,Dominica,728,78000,United Kingdom,DMA,UKG
1979,Kiribati,Independence,Kiribati,572,57816,United Kingdom,KIR,UKG
1979,St. Vincent and the Grenadines,Independence,St. Vincent and the Grenadines,389,120000,United Kingdom,SVG,UKG
1979,Egypt,Cession,Egypt,20000,2000,Israel,EGY,ISR
1979,St. Lucia,Independence,St. Lucia,616,121000,United Kingdom,SLU,UKG
1980,Vanuatu,Independence,Vanuatu,14760,97468,France,VAN,FRN
1980,Morocco,Cession,Mauritania,88667,100000,Mauritania,MOR,MAA
1980,Zimbabwe,Independence,Zimbabwe,390622,7360000,United Kingdom,ZIM,UKG
1981,Colombia,Cession,Quita Sueno Bank,10,0,United States of America,COL,USA
1981,Belize,Independence,Belize,22800,148300,United Kingdom,BLZ,UKG
1981,Antigua & Barbuda,Independence,Antigua & Barbuda,440,77000,United Kingdom,AAB,UKG
1983,St. Kitts and Nevis,Independence,St. Kitts and Nevis,360,44500,United Kingdom,SKN,UKG
1984,Brunei,Independence,Brunei,5270,215000,United Kingdom,BRU,UKG
1986,Federated States of Micronesia,Independence,Federated States of Micronesia,702,95000,United States of America,FSM,USA
1986,Marshall Islands,Independence,Marshall Islands,181,40000,United States of America,MSI,USA
1986,Mali,Cession,Burkina Faso,1553,65000,Burkina Faso,MLI,BFO
1989,Egypt,Cession,Israel,1,0,Israel,EGY,ISR
1990,Germany,Unification,German Democratic Republic,108333,16600000,German Democratic Republic,GMY,GDR
1990,Yemen,Unification,Yemen Peoples Republic,329111,2488000,Yemen Peoples Republic,YEM,#N/A
1990,Namibia,Independence,Namibia,823290,1372000,South Africa,NAM,SAF
1991,Croatia,Secession,Croatia,56410,4763000,Yugoslavia,CRO,YUG
1991,Slovenia,Secession,Slovenia,20256,1974000,Yugoslavia,SLV,YUG
1991,Kazakhstan,Secession,Kazakhstan,2717300,16700000,Russia,KZK,RUS
1991,Ukraine,Secession,Ukraine,603700,52000000,Russia,UKR,RUS
1991,Turkmenistan,Secession,Turkmenistan,488100,3600000,Russia,TKM,RUS
1991,Uzbekistan,Secession,Uzbekistan,447400,20300000,Russia,UZB,RUS
1991,Belarus,Secession,Belarus,207600,10200000,Russia,BLR,RUS
1991,Kyrgyzstan,Secession,Kyrgyzstan,198500,4375000,Russia,KYR,RUS
1991,Tajikistan,Secession,Tajikistan,143100,5250000,Russia,TAJ,RUS
1991,Azerbaijan,Secession,Azerbaijan,86600,7200000,Russia,AZE,RUS
1991,Georgia,Secession,Georgia,69700,5500000,Russia,GRG,RUS
1991,Lithuania,Secession,Lithuania,65301,3754000,Russia,LIT,RUS
1991,Latvia,Secession,Latvia,64610,2600000,Russia,LAT,RUS
1991,Estonia,Secession,Estonia,45227,1581000,Russia,EST,RUS
1991,Moldova,Secession,Moldova,33700,4350000,Russia,MLD,RUS
1991,Armenia,Secession,Armenia,28400,3450000,Russia,ARM,RUS
1992,Oman,Cession,Yemen,1250,0,Yemen,OMA,YEM
1992,Yemen,Cession,Oman,1875,0,Oman,YEM,OMA
1992,Bangladesh,Cession,Tin Bigha,1,20,India,BNG,IND
1992,Bosnia and Herzegovina,Secession,Bosnia and Herzegovina,51107,4455000,Yugoslavia,BOS,YUG
1993,Czech Republic,Secession,Czech Republic,79228,10300000,Czechoslovakia,CZR,CZE
1993,Slovakia,Secession,Slovakia,48666,5200000,Czechoslovakia,SLO,CZE
1993,Macedonia,Secession,Macedonia,24856,2109000,Yugoslavia,MAC,YUG
1993,Eritrea,Secession,Eritrea,124993,3000000,Ethiopia,ERI,ETH
1994,Namibia,Cession,Walvis Bay,1124,30000,South Africa,NAM,SAF
1994,Palau,Independence,U. S. Pacific Trust Territories,487,15600,United States of America,PAL,USA
1995,Jordan,Cession,Israel,340,0,Israel,JOR,ISR
1996,China,Cession,Russia,18,0,Russia,CHN,RUS
1997,China,Cession,Hong Kong,1084,6700000,United Kingdom,CHN,UKG
1997,Slovakia,Cession,Czech Republic,4052,120,Czech Republic,SLO,CZR
1997,Czech Republic,Cession,Slovakia,4052,31,Slovakia,CZR,SLO
1998,Ukraine,Cession,Moldova,1,0,Moldova,UKR,MLD
1998,Moldova,Cession,Ukraine,1,0,Ukraine,MLD,UKR
1998,China,Cession,Kazakhstan,470,0,Kazakhstan,CHN,KZK
1999,Botswana,Cession,Botswana,5,0,Namibia,BOT,NAM
1999,China,Cession,Macao,21045,447000,Portugal,CHN,POR
1999,Estonia,Cession,Russia,30,0,Russia,EST,RUS
1999,Russia,Cession,Estonia,30,0,Estonia,RUS,EST
2000,Egypt,Conquest,Sudan,20580,5000,Sudan,EGY,SUD
2004,Yemen,Cession,Saudi Arabia,40000,0,Saudi Arabia,YEM,SAU
2006,Montenegro,Secession,Montenegro,13812,650000,Yugoslavia,MNG,YUG
2008,China,Cession,Russia,174,0,Russia,CHN,RUS
2008,Cameroon,Cession,Nigeria,665,300000,Nigeria,CAO,NIG
2008,Kosovo,Independence,Kosovo,10887,1747383,Yugoslavia,KOS,YUG
2011,China,Cession,Tajikistan,1142,0,Tajikistan,CHN,TAJ
2011,South Sudan,Independence,South Sudan,619745,8260000,Sudan,SSD,SUD
2014,Russia,Conquest,Ukraine,27000,2400000,Ukraine,RUS,UKR
2015,Bangladesh,Independence,Bangladesh,28077,51000,India,BNG,IND
2015,India,Independence,India,69044,51000,Bangladesh,IND,BNG
